"custom-link","custom-link href","tablescraper-selected-row","tablescraper-selected-row 2"
"CRWT10203","https://undergraduate.catalog.tcu.edu/courses/0015431","Introduction to Creative Writing","3"
"CRWT20103","https://undergraduate.catalog.tcu.edu/courses/0090361","Reading as a Writer","3"
"CRWT20123","https://undergraduate.catalog.tcu.edu/courses/0095781","Travel Writing","3"
"CRWT20133","https://undergraduate.catalog.tcu.edu/courses/0096461","Writing for Performance","3"
"WRIT20303","https://undergraduate.catalog.tcu.edu/courses/0090371","Writing Games","3"
"WRIT20323","https://undergraduate.catalog.tcu.edu/courses/0101331","Introduction to Multimedia Authoring","3"
"WRIT30213","https://undergraduate.catalog.tcu.edu/courses/0016001","Advanced Composition: Writing Genres","3"
"WRIT30223","https://undergraduate.catalog.tcu.edu/courses/0016011","Advanced Technical Writing","3"
"CRWT30233","https://undergraduate.catalog.tcu.edu/courses/0016021","Creative Nonfiction Workshop I","3"
"WRIT30263","https://undergraduate.catalog.tcu.edu/courses/0016051","Style","3"
"WRIT30273","https://undergraduate.catalog.tcu.edu/courses/0016061","Argument and Persuasion","3"
"CRWT30343","https://undergraduate.catalog.tcu.edu/courses/0081471","Fiction Writing Workshop I","3"
"CRWT30353","https://undergraduate.catalog.tcu.edu/courses/0081481","Poetry Writing Workshop I","3"
"CRWT30363","https://undergraduate.catalog.tcu.edu/courses/0086921","Digital Creative Writing","3"
"CRWT30373","https://undergraduate.catalog.tcu.edu/courses/0088051","Drama Writing Workshop I","3"
"WRIT30613","https://undergraduate.catalog.tcu.edu/courses/0098091","Writing Cross-cultural Differences","3"
"CRWT40133","https://undergraduate.catalog.tcu.edu/courses/0086941","Creative Nonfiction Workshop II","3"
"WRIT40163","https://undergraduate.catalog.tcu.edu/courses/0082361","Multimedia Authoring: Image and Hypertext","3"
"CRWT40203","https://undergraduate.catalog.tcu.edu/courses/0016561","Fiction Writing Workshop II","3"
"CRWT40213","https://undergraduate.catalog.tcu.edu/courses/0016571","Poetry Writing Workshop II","3"
"CRWT10203","https://undergraduate.catalog.tcu.edu/courses/0015431","Introduction to Creative Writing","3"
"WRIT40233","https://undergraduate.catalog.tcu.edu/courses/0016591","Writing for Publication","3"
"WRIT40243","https://undergraduate.catalog.tcu.edu/courses/0016601","Advanced Professional Writing","3"
"WRIT40263","https://undergraduate.catalog.tcu.edu/courses/0082371","Multimedia Authoring: Animation and Film","3"
"WRIT40273","https://undergraduate.catalog.tcu.edu/courses/0016621","Writing Internship","3"
"WRIT40363","https://undergraduate.catalog.tcu.edu/courses/0092611","Multimedia Authoring: Mobile Apps and eBooks","3"
"WRIT40463","https://undergraduate.catalog.tcu.edu/courses/0098101","Multimedia Authoring: Comics Production","3"
"WRIT40563","https://undergraduate.catalog.tcu.edu/courses/0099521","Multimedia Authoring: Sound & Podcasting","3"
"CRWT40703","https://undergraduate.catalog.tcu.edu/courses/0099481","Advanced Multi-Genre Workshop","3"
"CRWT40803","https://undergraduate.catalog.tcu.edu/courses/0099491","Advanced Literary Forms","3"
"ENGL50233","https://undergraduate.catalog.tcu.edu/courses/0080091","Studies in Creative Writing","3"
"WRIT55103","https://undergraduate.catalog.tcu.edu/courses/0098181","Style","3"
"WRIT55133","https://undergraduate.catalog.tcu.edu/courses/0100911","Multimedia Authoring: Image and Hypertext","3"
"WRIT55143","https://undergraduate.catalog.tcu.edu/courses/0100921","Multimedia Authoring: Sound & Podcasting","3"
"WRIT55163","https://undergraduate.catalog.tcu.edu/courses/0098092","Writing Cross-cultural Differences","3"
"WRIT55223","https://undergraduate.catalog.tcu.edu/courses/0016012","Advanced Technical Writing","3"
"WRIT55263","https://undergraduate.catalog.tcu.edu/courses/0082372","Multimedia Authoring: Animation and Film","3"
"WRIT55743","https://undergraduate.catalog.tcu.edu/courses/0092612","Multimedia Authoring: Mobile Apps and eBooks","3"
"WRIT55753","https://undergraduate.catalog.tcu.edu/courses/0098102","3","Multimedia Authoring: Comics Production"
"WRIT55973","https://undergraduate.catalog.tcu.edu/courses/0098901","Directed Study in Writing","3"
