pill-label,course-button href,course-button,course-button (2)
ENGL30463,https://undergraduate.catalog.tcu.edu/courses/0016161,British Literature: The Bloomsbury Group,"Prerequisites: ENGL 10803, ENGL 20803 , and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. A close scrutiny of early 20th century Britis..."
ENGL40463,https://undergraduate.catalog.tcu.edu/courses/0016711,British Novel since 1832,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT course. A survey of the novel from the mid-19th century to..."
ENGL40453,https://undergraduate.catalog.tcu.edu/courses/0016701,British Novel to 1832,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT course. A survey of the novel through the early 19th century."
ENGL40643,https://undergraduate.catalog.tcu.edu/courses/0081561,British Romanticism,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. This class will survey British literature fro..."
ENGL20403,https://undergraduate.catalog.tcu.edu/courses/0015601,British Writers,Studies of texts by British writers from the beginnings of English literature to the present. Texts vary by semester.
ENGL55103,https://undergraduate.catalog.tcu.edu/courses/0016652,Chaucer,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. An intensive study of Chaucer's major poetry, ..."
ENGL40403,https://undergraduate.catalog.tcu.edu/courses/0016651,Chaucer,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. An intensive study of Chaucer's major poetry, ..."
ENGL55733,https://undergraduate.catalog.tcu.edu/courses/0016972,Children's Literature,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. A study of the history and criticism of child..."
ENGL40733,https://undergraduate.catalog.tcu.edu/courses/0016971,Children's Literature,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. A study of the history and criticism of child..."
ENGL50253,https://undergraduate.catalog.tcu.edu/courses/0078231,Classical Rhetoric,"Prerequisite: Junior or senior standing, permission of instructor. This course examines the emergence of rhetoric in Antiquity and traces the impa..."
ENGL30843,https://undergraduate.catalog.tcu.edu/courses/0094641,Australian Literature,"Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. This course examines a wide variety of Austra..."
ENGL55193,https://undergraduate.catalog.tcu.edu/courses/0087562,Authorship in American Literary Culture,"This course examines both shifting conceptions of authorship (e.g., writer versus author) and issues associated with authorial practices in America..."
