"custom-link","custom-link href","tablescraper-selected-row"
"ENGL20503","https://undergraduate.catalog.tcu.edu/courses/0015641","American Writers"
"ENGL20523","https://undergraduate.catalog.tcu.edu/courses/0016201","Sports and American Literature"
"ENGL20533","https://undergraduate.catalog.tcu.edu/courses/0015671","The American Dream"
"ENGL20543","https://undergraduate.catalog.tcu.edu/courses/0016221","The American Short Story"
"ENGL20553","https://undergraduate.catalog.tcu.edu/courses/0094631","Introduction to American Studies"
"ENGL20563","https://undergraduate.catalog.tcu.edu/courses/0095671","Introduction to Latina/o Literature"
"ENGL20573","https://undergraduate.catalog.tcu.edu/courses/0094771","Introduction to Native American Literatures"
"ENGL20683","https://undergraduate.catalog.tcu.edu/courses/0091501","Young Adult Literature in American Culture"
"ENGL30133","https://undergraduate.catalog.tcu.edu/courses/0015971","American Literature to 1865"
"ENGL30143","https://undergraduate.catalog.tcu.edu/courses/0015981","American Literature since 1865"
"ENGL30163","https://undergraduate.catalog.tcu.edu/courses/0085481","Urban Experiences and American Literature"
"ENGL30183","https://undergraduate.catalog.tcu.edu/courses/0091241","Prison Literature"
"ENGL30503","https://undergraduate.catalog.tcu.edu/courses/0016181","The Roaring Twenties"
"ENGL30513","https://undergraduate.catalog.tcu.edu/courses/0016191","American Poetry"
"ENGL30523","https://undergraduate.catalog.tcu.edu/courses/0089791","Popular Literature"
"ENGL30543","https://undergraduate.catalog.tcu.edu/courses/0102631","Black Women's Writing"
"ENGL30553","https://undergraduate.catalog.tcu.edu/courses/0016231","19th Century American Novel"
"ENGL30563","https://undergraduate.catalog.tcu.edu/courses/0016241","American Drama"
"ENGL30573","https://undergraduate.catalog.tcu.edu/courses/0016251","African American Literature"
"ENGL30583","https://undergraduate.catalog.tcu.edu/courses/0016261","Early American Literature"
"ENGL30593","https://undergraduate.catalog.tcu.edu/courses/0073261","American Fiction, 1960 to the Present"
"ENGL30693","https://undergraduate.catalog.tcu.edu/courses/0016351","U.S. Multi-Ethnic Literature"
"ENGL30703","https://undergraduate.catalog.tcu.edu/courses/0085941","Contemporary Latinx Literature"
"ENGL30713","https://undergraduate.catalog.tcu.edu/courses/0081462","Mexican American Culture"
"ENGL30853","https://undergraduate.catalog.tcu.edu/courses/0094651","Asian American Literature"
"ENGL38023","https://undergraduate.catalog.tcu.edu/courses/0092301","Research Seminar in American Literature"
"ENGL40513","https://undergraduate.catalog.tcu.edu/courses/0093961","U.S. Women's Writing I"
"ENGL40533","https://undergraduate.catalog.tcu.edu/courses/0016771","Toni Morrison"
"ENGL40543","https://undergraduate.catalog.tcu.edu/courses/0078701","Studies in Early American Literature"
"ENGL40553","https://undergraduate.catalog.tcu.edu/courses/0078711","Studies in Nineteenth-Century American Literature"
"ENGL40563","https://undergraduate.catalog.tcu.edu/courses/0081511","U.S. Women's Writing II"
"ENGL40583","https://undergraduate.catalog.tcu.edu/courses/0016821","Contemporary American Poetry"
"ENGL40663","https://undergraduate.catalog.tcu.edu/courses/0016901","Transnational American Literature"
"ENGL40683","https://undergraduate.catalog.tcu.edu/courses/0085511","Studies in 20th Century American Literature"
"ENGL55193","https://undergraduate.catalog.tcu.edu/courses/0087562","Authorship in American Literary Culture"
"ENGL55213","https://undergraduate.catalog.tcu.edu/courses/0017912","Seminar in American Literature since 1900"
"ENGL55533","https://undergraduate.catalog.tcu.edu/courses/0085812","Literature of Latinx Diaspora"
"ENGL55583","https://undergraduate.catalog.tcu.edu/courses/0017932","Seminar in Contemporary African-American Literature"
"ENGL55783","https://undergraduate.catalog.tcu.edu/courses/0017662","American Non-Fiction Prose"
"ENGL55763","https://undergraduate.catalog.tcu.edu/courses/0081282","Race and Gender in American Literature"
